company_name,source_exchange,source_code,yahoo_symbol_guess,mapping_note,duplicate_row
Neste Oyj,XHEL,NESTE,NESTE.HE,auto (exchange suffix rule),
"NETFLIX, INC.",XNAS,NFLX,NFLX,auto (exchange suffix rule),
"NIKE, INC.",XFRA,NKE,NKE.F,auto (exchange suffix rule),
Nkt A/S,XETR,NKT,NKT.DE,auto (exchange suffix rule),
Novartis Inc.,XSWX,NOVN,NOVN.SW,auto (exchange suffix rule),
"NETAPP, INC.",XNAS,NTAP,NTAP,auto (exchange suffix rule),
NUCOR CORPORATION,XNYS,NUE,NUE,auto (exchange suffix rule),
NVIDIA CORPORATION,XNAS,NVDA,NVDA,auto (exchange suffix rule),
"NVR, Inc.",XNYS,NVR,NVR,auto (exchange suffix rule),
NXP Semiconductors NV,XNAS,NXPI,NXPI,auto (exchange suffix rule),
NEXTPOWER INC.,XNAS,NXT,NXT,auto (exchange suffix rule),
"OLD DOMINION FREIGHT LINE, INC.",XNAS,ODFL,ODFL,auto (exchange suffix rule),
OMNICOM GROUP INC.,XNYS,OMC,OMC,auto (exchange suffix rule),
ON SEMICONDUCTOR CORPORATION,XNAS,ON,ON,auto (exchange suffix rule),
PALAMINA CORP.,XTSX,PA,PA.V,auto (exchange suffix rule),yes
Orkla ASA,XOSL,ORK,ORK.OL,auto (exchange suffix rule),
"O'Reilly Automotive, Inc.",XNAS,ORLY,ORLY,auto (exchange suffix rule),
Orion Oyj,XHEL,ORNBV,ORNBV.HE,auto (exchange suffix rule),
PACCAR INC,XNAS,PCAR,PCAR,auto (exchange suffix rule),
"Pepsico, Inc.",XNAS,PEP,PEP,auto (exchange suffix rule),
THE PROCTER & GAMBLE COMPANY,XNYS,PG,PG,auto (exchange suffix rule),
Partners Group Holding AG,XSWX,PGHN,PGHN.SW,auto (exchange suffix rule),
PARKER-HANNIFIN CORPORATION,XNYS,PH,PH,auto (exchange suffix rule),
"PULTEGROUP, INC.",XNYS,PHM,PHM,auto (exchange suffix rule),
Pirelli and C. S.p.a,XMIL,PIRC,PIRC.MI,auto (exchange suffix rule),
PACKAGING CORPORATION OF AMERICA,XNYS,PKG,PKG,auto (exchange suffix rule),
Orlen SA,XWAR,PKN,PKN.WA,auto (exchange suffix rule),
Philip Morris International Inc.,XNYS,PM,PM,auto (exchange suffix rule),
Pandora A/S,XCSE,PNDORA,PNDORA.CO,auto (exchange suffix rule),
PENTAIR PUBLIC LIMITED COMPANY,XNYS,PNR,PNR,auto (exchange suffix rule),
INSULET CORPORATION,XNAS,PODD,PODD,auto (exchange suffix rule),
Prysmian SpA,XMIL,PRY,PRY.MI,auto (exchange suffix rule),
PUBLIC STORAGE.,XNYS,PSA,PSA,auto (exchange suffix rule),
PHILLIPS 66,XNYS,PSX,PSX,auto (exchange suffix rule),
PTC INC.,XNAS,PTC,PTC,auto (exchange suffix rule),
PANCONTINENTAL ENERGY NL,XFRA,PUB,PUB.F,auto (exchange suffix rule),
"QUANTA SERVICES, INC.",XNYS,PWR,PWR,auto (exchange suffix rule),
"PAYPAL HOLDINGS, INC.",XNAS,PYPL,PYPL,auto (exchange suffix rule),
QUALCOMM INCORPORATED,XNAS,QCOM,QCOM,auto (exchange suffix rule),
Qiagen NV,XFRA,QIA,QIA.F,auto (exchange suffix rule),
Rational AG,XFRA,RAA,RAA.F,auto (exchange suffix rule),
Ferrari NV,XMIL,RACE,RACE.MI,auto (exchange suffix rule),
"REGENERON PHARMACEUTICALS, INC.",XNAS,REGN,REGN,auto (exchange suffix rule),
RELX PLC,XLON,REL,REL.L,auto (exchange suffix rule),
Rheinmetall AG,XFRA,RHM,RHM.F,auto (exchange suffix rule),
RIO TINTO PLC,XNYS,RIO,RIO,auto (exchange suffix rule),
"RAYMOND JAMES FINANCIAL, INC.",XNYS,RJF,RJF,auto (exchange suffix rule),
RESMED INC.,XNYS,RMD,RMD,auto (exchange suffix rule),
Hermes International SCA,XPAR,RMS,RMS.PA,auto (exchange suffix rule),
Rockwool A/S,XFRA,R903,R903.F,auto (exchange suffix rule),
"ROCKWELL AUTOMATION, INC.",XNYS,ROK,ROK,auto (exchange suffix rule),
"ROLLINS, INC.",XNYS,ROL,ROL,auto (exchange suffix rule),
"ROPER TECHNOLOGIES, INC.",XNAS,ROP,ROP,auto (exchange suffix rule),
"ROPER TECHNOLOGIES, INC.",XNAS,ROP,ROP,auto (exchange suffix rule),yes
"ROSS STORES, INC.",XNAS,ROST,ROST,auto (exchange suffix rule),
ROLLS-ROYCE HOLDINGS PLC,XMEX,RRN,RR.L,manual override,
Rexel SA,XPAR,RXL,RXL.PA,auto (exchange suffix rule),
RYANAIR HOLDINGS PUBLIC LIMITED COMPANY,XDUB,RYA,RYA.IR,auto (exchange suffix rule),
Saab AB,XSTO,SAAB B,SAAB-B.ST,manual override,
Safran SA,XPAR,SAF,SAF.PA,auto (exchange suffix rule),
Sandvik AB,XSTO,SAND,SAND.ST,auto (exchange suffix rule),
SAP SE,XFRA,SAP,SAP.F,auto (exchange suffix rule),
Savencia SA,XPAR,SAVE,SAVE.PA,auto (exchange suffix rule),
STARBUCKS CORPORATION,XNAS,SBUX,SBUX,auto (exchange suffix rule),
THE CHARLES SCHWAB CORPORATION,XNYS,SCHW,SCHW,auto (exchange suffix rule),
Sandoz Group Ltd,XSWX,SDZ,SDZ.SW,auto (exchange suffix rule),
THE SAGE GROUP PLC.,XLON,SGE,SGE.L,auto (exchange suffix rule),
SHELL PLC,XNYS,SHEL,SHEL,auto (exchange suffix rule),
SHELL PLC,XNYS,SHEL,SHEL,auto (exchange suffix rule),yes
THE SHERWIN-WILLIAMS COMPANY,XNYS,SHW,SHW,auto (exchange suffix rule),
Siemens AG,XFRA,SIE,SIE.F,auto (exchange suffix rule),
Sika Ltd,XMEX,SIKAN,SIKA.SW,manual override,
SKF Inc,XFRA,SKFB,SKFB.F,auto (exchange suffix rule),
"SUPER MICRO COMPUTER, INC.",XNAS,SMCI,SMCI,auto (exchange suffix rule),
SMITHS GROUP PLC,XLON,SMIN,SMIN.L,auto (exchange suffix rule),
SNAP-ON INCORPORATED,XNYS,SNA,SNA,auto (exchange suffix rule),
SANDISK CORPORATION,XNAS,SNDK,SNDK,auto (exchange suffix rule),
Swedish Orphan Biovitrum AB (publ),XSTO,SOBI,SOBI.ST,auto (exchange suffix rule),
SOLVENTUM CORPORATION,XNYS,SOLV,SOLV,auto (exchange suffix rule),
Sonova Holding Ltd.,XSWX,SOON,SOON.SW,auto (exchange suffix rule),
SPC GLOBAL HOLDINGS LTD,XASX,SPG,SPG.AX,auto (exchange suffix rule),
Spie SA,XPAR,SPIE,SPIE.PA,auto (exchange suffix rule),
SPACE EXPLORATION TECHNOLOGIES CORP.,XFRA,SPX,,manual override,
SSAB AB,XSTO,SSAB B,SSAB-B.ST,manual override,
STERIS PUBLIC LIMITED COMPANY,XNYS,STE,STE,auto (exchange suffix rule),
"STEEL DYNAMICS, INC.",XNAS,STLD,STLD,auto (exchange suffix rule),
STMicroelectronics NV,XMIL,STMMI,STM.MI,manual override,
Straumann Holding Ltd,XWBO,STMN,STMN.SW,manual override,
SEAGATE TECHNOLOGY HOLDINGS PUBLIC LIMITED COMPANY,XNAS,STX,STX,auto (exchange suffix rule),
STRYKER CORPORATION,XNYS,SYK,SYK,auto (exchange suffix rule),
SYSCO CORPORATION,XNYS,SYY,SYY,auto (exchange suffix rule),
TRANSDIGM GROUP INCORPORATED,XNYS,TDG,TDG,auto (exchange suffix rule),
TELEDYNE TECHNOLOGIES INCORPORATED,XNYS,TDY,TDY,auto (exchange suffix rule),
BIO-TECHNE CORPORATION,XNAS,TECH,TECH,auto (exchange suffix rule),
TE CONNECTIVITY PUBLIC LIMITED COMPANY,XNYS,TEL,TEL,auto (exchange suffix rule),
NFT LIMITED,XNYS,MI,MI,auto (exchange suffix rule),
"TERADYNE, INC.",XMIL,1TER,TER,manual override,
TARGET CORPORATION,XNYS,TGT,TGT,auto (exchange suffix rule),
"THE TJX COMPANIES, INC.",XNYS,TJX,TJX,auto (exchange suffix rule),
THERMO FISHER SCIENTIFIC INCORPORATED,XNYS,TMO,TMO,auto (exchange suffix rule),
"T-MOBILE US, INC.",XNAS,TMUS,TMUS,auto (exchange suffix rule),
TEXAS PACIFIC LAND CORPORATION,XNYS,TPL,TPL,auto (exchange suffix rule),
"TAPESTRY, INC.",XNYS,TPR,TPR,auto (exchange suffix rule),
Technoprobe SpA,XMIL,TPRO,TPRO.MI,auto (exchange suffix rule),
TARGA RESOURCES CORP.,XNYS,TRGP,TRGP,auto (exchange suffix rule),
"T. ROWE PRICE GROUP, INC.",XNAS,TROW,TROW,auto (exchange suffix rule),
TRACTOR SUPPLY COMPANY,XNAS,TSCO,TSCO,auto (exchange suffix rule),
Taiwan Semiconductor Manufacturing Company Limited,XNYS,TSM,TSM,auto (exchange suffix rule),
TRANE TECHNOLOGIES PUBLIC LIMITED COMPANY,XNYS,TT,TT,auto (exchange suffix rule),
"THE TRADE DESK, INC.",XNAS,TTD,TTD,auto (exchange suffix rule),
TotalEnergies SE,XNYS,TTE,TTE,auto (exchange suffix rule),
TEXAS INSTRUMENTS INCORPORATED,XNAS,TXN,TXN,auto (exchange suffix rule),
Text SA,XWAR,TXT,TXT.WA,auto (exchange suffix rule),
"TYLER TECHNOLOGIES, INC.",XNYS,TYL,TYL,auto (exchange suffix rule),
"UBER TECHNOLOGIES, INC.",XNYS,UBER,UBER,auto (exchange suffix rule),
"UNITED COMMUNITY BANKS, INC.",XNYS,UCB,UCB,auto (exchange suffix rule),
The Swatch Group Ltd,XSWX,UHR,UHR.SW,auto (exchange suffix rule),
"UNIVERSAL HEALTH SERVICES, INC.",XNYS,UHS,UHS,auto (exchange suffix rule),
"ULTA BEAUTY, INC.",XNAS,ULTA,ULTA,auto (exchange suffix rule),
UNILEVER PLC,XLON,ULVR,ULVR.L,auto (exchange suffix rule),
Universal Music Group NV,XAMS,UMG,UMG.AS,auto (exchange suffix rule),
UNITEDHEALTH GROUP INCORPORATED,XNYS,UNH,UNH,auto (exchange suffix rule),
UNION PACIFIC CORPORATION,XNYS,UNP,UNP,auto (exchange suffix rule),
"UNITED RENTALS, INC.",XNYS,URI,URI,auto (exchange suffix rule),
VISA INC.,XNYS,V,V,auto (exchange suffix rule),
VAT Group Ltd,XSWX,VACN,VACN.SW,auto (exchange suffix rule),
VEEVA SYSTEMS INC.,XNYS,VEEV,VEEV,auto (exchange suffix rule),
VALERO ENERGY CORPORATION,XNYS,VLO,VLO,auto (exchange suffix rule),
VERALTO CORPORATION,XNYS,VLTO,VLTO,auto (exchange suffix rule),
VULCAN MATERIALS COMPANY,XNYS,VMC,VMC,auto (exchange suffix rule),
voestalpine AG,XWBO,VOE,VOE.VI,auto (exchange suffix rule),
Volvo AB,XSTO,VOLV B,VOLV-B.ST,manual override,
"VERISK ANALYTICS, INC.",XNAS,VRSK,VRSK,auto (exchange suffix rule),
VERTIV HOLDINGS CO,XNYS,VRT,VRT,auto (exchange suffix rule),
VERTEX PHARMACEUTICALS INCORPORATED,XNAS,VRTX,VRTX,auto (exchange suffix rule),
Vestas Wind Systems A/S,XCSE,VWS,VWS.CO,auto (exchange suffix rule),
WESTERN DIGITAL CORPORATION,XNAS,WDC,WDC,auto (exchange suffix rule),
WEIR GROUP PLC(THE),XLON,WEIR,WEIR.L,auto (exchange suffix rule),
Wolters Kluwer NV,XAMS,WKL,WKL.AS,auto (exchange suffix rule),
"WASTE MANAGEMENT, INC.",XNYS,WM,WM,auto (exchange suffix rule),
WALMART INC.,XNAS,WMT,WMT,auto (exchange suffix rule),
Wartsila Oyj Abp,XHEL,WRT1V,WRT1V.HE,auto (exchange suffix rule),
"WILLIAMS-SONOMA, INC.",XNYS,WSM,WSM,auto (exchange suffix rule),
"WEST PHARMACEUTICAL SERVICES, INC.",XNYS,WST,WST,auto (exchange suffix rule),
EXXONMOBIL HOLDINGS CORPORATION,XNYS,XOM,XOM,auto (exchange suffix rule),
XYLEM INC.,XNYS,XYL,XYL,auto (exchange suffix rule),
"BLOCK, INC.",XNYS,XYZ,XYZ,auto (exchange suffix rule),
Yara International ASA,XOSL,YAR,YAR.OL,auto (exchange suffix rule),
"YUM! Brands, Inc.",XNYS,YUM,YUM,auto (exchange suffix rule),
Zabka Group SA,XWAR,ZAB,ZAB.WA,auto (exchange suffix rule),
Zalando SE,XFRA,ZAL,ZAL.F,auto (exchange suffix rule),
ZOETIS INC.,XNYS,ZTS,ZTS,auto (exchange suffix rule),
